transaction_id,sender,receiver,amount,country,timestamp
T001,A001,A002,5000,IN,2026-08-01 09:15
T002,A001,A003,7500,IN,2026-08-01 10:20
T003,A002,A004,12000,IN,2026-08-01 11:30
T004,A003,A005,8500,IN,2026-08-01 12:10
T005,A004,A006,150000,IN,2026-08-01 13:45
T006,A005,A007,2000,IN,2026-08-01 14:00
T007,A006,A008,180000,IN,2026-08-01 14:15
T008,A008,A009,175000,IN,2026-08-01 14:20
T009,A009,A006,170000,IN,2026-08-01 14:25
T010,A010,A011,950000,US,2026-08-01 15:00
T011,A012,A013,3000,IN,2026-08-01 15:10
T012,A012,A014,3500,IN,2026-08-01 15:20
T013,A012,A015,4000,IN,2026-08-01 15:30
T014,A012,A016,4500,IN,2026-08-01 15:40
T015,A012,A017,5000,IN,2026-08-01 15:50
